song,link,prefix,title,genre,artist,token_count,wpm,duration_mins
247 cuộc gọi người lắng nghe,https://zingmp3.vn/bai-hat/247-Cuoc-Goi-Nguoi-Lang-Nghe-Kidz/ZU0AWCDE.html,247-cuoc-goi-nguoi-lang-nghe,247 Cuộc Gọi Người Lắng Nghe,nhạc trẻ,Kidz,356.0,193.24021133386407,1.8422666666666667
29,https://zingmp3.vn/bai-hat/Den-Dao-Xa-Cung-KN-290-Dong-Trieu/Z79DBIZ7.html,29,29,,"Dai Nhan,Bang Di",454.0,123.75900019089052,3.668420068841323
3 giây nhớ 1 đời thương,https://zingmp3.vn/bai-hat/3-Giay-Nho-1-Doi-Thuong-Cover-Oanh-Ta/Z67C607O.html,3-giay-nho-1-doi-thuong,3 Giây Nhớ 1 Đời Thương,v-pop,Thiên Tú,383.0,87.61361556762031,4.371466666666667
3 giây nhớ 1 đời thương cover,https://zingmp3.vn/bai-hat/3-Giay-Nho-1-Doi-Thuong-Cover-Oanh-Ta/Z67C607O.html,3-giay-nho-1-doi-thuong-cover,3 Giây Nhớ 1 Đời Thương (Cover),v-pop,Oanh Tạ,365.0,83.40781334314885,4.376088826335132
3 thằng bạn,https://zingmp3.vn/bai-hat/3-Thang-Ban-Karik/ZWZE6Z79.html,3-thang-ban,3 Thằng Bạn,,Karik,939.0,247.6192025607289,3.7921130117916
3 điều ước,https://zingmp3.vn/bai-hat/3-Dieu-Uoc-Doan-Thanh-Son/ZWZECE9O.html,3-dieu-uoc,3 Điều Ước,,Doan Thanh Son,472.0,101.08601409744485,4.669290843192232
30 ngày yêu,https://zingmp3.vn/bai-hat/30-Ngay-Yeu-Dong-Nhi/ZWZ9C0EZ.html,30-ngay-yeu,30 Ngày Yêu,,Dong Nhi,433.0,116.66320889205215,3.7115385742616818
31 ngày lạnh,https://zingmp3.vn/bai-hat/31-Ngay-Lanh-The-Anh-Shinichi-Q-U-Hoang-Nhung/Z7WDU7EI.html,31-ngay-lanh,31 Ngày Lạnh,nhạc trẻ,"Thế Anh Shinichi, Q.U, Hoàng Nhung",642.0,157.1097351391456,4.086315844345401
365 ngày không em,https://zingmp3.vn/bai-hat/365-Ngay-Khong-Em-Lu-Binh-Swainz-Tuan-Nguyen/ZW706FEU.html,365-ngay-khong-em,365 Ngày Không Em,,Lu Binh,495.0,114.21518568962652,4.333924574137937
365 ngày yêu remix,https://zingmp3.vn/bai-hat/365-Ngay-Yeu-Remix-Luong-Gia-Huy/ZW6FIFZB.html,365-ngay-yeu-remix,365 Ngày Yêu (Remix),,Luong Gia Huy,359.0,100.4502625271712,3.5739080313791387
3am & healing,https://zingmp3.vn/bai-hat/3am-Healing-Larria-Trung-Tam-Bang-Dia-Lau-Hai-Ngoai/Z6IFOOFD.html,3am-healing,3am & Healing,v-pop,Larria.,119.0,42.73401963131434,2.784666666666667
4 mùa thương em,https://zingmp3.vn/bai-hat/4-Mua-Thuong-Em-TikTok-Speed-Up-Version-Nguyen-Le-Hoang-Anh-Lap-Nguyen-Nguyen-Hoang-Anh-Official/Z6COO7WC.html,4-mua-thuong-em,4 Mùa Thương Em,v-pop,Lập Nguyên,717.0,164.0736864807401,4.369987749889228
4 phút 20 giây về nhà với anh đi,https://zingmp3.vn/bai-hat/4-Phut-20-Giay-Ve-Nha-Voi-Anh-Di-Ha-Anh/ZWAFIW99.html,4-phut-20-giay-ve-nha-voi-anh-di,4 Phút 20 Giây (Về Nhà Với Anh Đi),nhạc trẻ,Hà Anh,438.0,121.64413997407888,3.6006666666666667
5 tháng bên em,https://zingmp3.vn/bai-hat/5-thang-ben-em-Kuun-Duc-Nam/Z6FWDEEI.html,5-thang-ben-em,5 tháng bên em,v-pop,Kuun Đức Nam,267.0,90.85753176043556,2.9386666666666668
5 vạn 7 ngàn 600 lần nhớ em,https://zingmp3.vn/bai-hat/5-Van-7-Ngan-600-Lan-Nho-Em-Thuong/ZWAED06F.html,5-van-7-ngan-600-lan-nho-em,5 Vạn 7 Ngàn 600 Lần Nhớ Em,nhạc trẻ,An Duy,623.0,115.1638354589875,5.409684364167123
50% khi yêu,https://zingmp3.vn/bai-hat/50-khi-yeu-2-To-Tai-Nang/Z6IB6FDA.html,50-khi-yeu,50% Khi Yêu,nhạc trữ tình,Hương Ngọc Vân,480.0,104.26738418188748,4.603548883154795
50% khi yêu 2,https://zingmp3.vn/bai-hat/50-khi-yeu-2-To-Tai-Nang/Z6IB6FDA.html,50-khi-yeu-2,50% khi yêu 2,v-pop,Tô Tài Năng,513.0,108.38868521852449,4.732966351291475
500 năm ruộng dâu biển cạn,https://zingmp3.vn/bai-hat/500-Nam-Ruong-Dau-Bien-Can-Lee-Phu-Quy/ZWBIF007.html,500-nam-ruong-dau-bien-can,500 Năm Ruộng Dâu Biển Cạn,nhạc trẻ,Lee Phú Quý,428.0,74.78508026000046,5.723066666666667
6 cô gái bạn có thể sẽ hẹn hò ở đại học,https://zingmp3.vn/bai-hat/6-Co-Gai-Ban-Co-The-Se-Hen-Ho-O-Dai-Hoc-Haisam/Z6CFAEIF.html,6-co-gai-ban-co-the-se-hen-ho-o-dai-hoc,6 Cô Gái Bạn Có Thể Sẽ Hẹn Hò Ở Đại Học,v-pop,Haisam,533.0,114.1555771317608,4.669066666666667
60 năm cuộc đời,https://zingmp3.vn/bai-hat/Lien-Khuc-60-Nam-Cuoc-Doi-20-40-Nguyen-Hung-Nhu-Loan/ZW68UU8U.html,60-nam-cuoc-doi,60 Năm Cuộc Đời,,Miu Le,234.0,87.3367739314573,2.679283759480804
60 năm yêu mãi nhé,https://zingmp3.vn/bai-hat/60-Nam-Yeu-Mai-Nhe-Tan-Hy-Khanh-Manh-Quan/ZW8I7AD7.html,60-nam-yeu-mai-nhe,60 Năm Yêu Mãi Nhé,nhạc trẻ,"Tân Hy Khánh, Mạnh Quân",419.0,115.59074058787884,3.624857820522844
7 ngày sau chia tay,https://zingmp3.vn/bai-hat/7-ngay-sau-chia-tay-mo/ZZI7A89B.html,7-ngay-sau-chia-tay,7 ngày sau chia tay,nhạc trẻ,mơ,439.0,145.95201007402665,3.00783798576902
7 ngày đợi mong,https://zingmp3.vn/bai-hat/7-Ngay-Doi-Mong-Duong-Ho-Hai/ZW9DFIW9.html,7-ngay-doi-mong,7 Ngày Đợi Mong,nhạc trữ tình,Dương Hồ Hải,278.0,66.24474099027758,4.196559543357573
7 tỷ người piano version,https://zingmp3.vn/bai-hat/7-Ty-Nguoi-Piano-Version-A-C-Xuan-Tai-Lynk-Lee/ZWB066E9.html,7-ty-nguoi-piano-version,7 Tỷ Người (Piano Version),nhạc trẻ,"Acy Xuân Tài, Lynk Lee",379.0,88.8031491143116,4.2678666666666665
"7 tỷ người, tìm thấy anh rồi ost ＂siêu trợ lý＂",https://zingmp3.vn/bai-hat/7-ty-nguoi-tim-thay-anh-roi-OST-Sieu-Tro-Ly-Orange/Z67EIF89.html,7-ty-nguoi-tim-thay-anh-roi-ost-sieu-tro-ly,"7 tỷ người, tìm thấy anh rồi (OST ＂Siêu Trợ Lý＂)",nhạc trẻ,Orange,359.0,97.93175710668538,3.665818020694868
8 dòng yêu,https://zingmp3.vn/bai-hat/8-Dong-Yeu-Nguyen-Van-Trung-Trong-Phuoc/ZW9DAAUI.html,8-dong-yeu,8 Dòng Yêu,nhạc trẻ,"Nguyễn Văn Trung, Trọng Phước",431.0,110.0875251166434,3.915066666666666
8 lời nói dối của mẹ,https://zingmp3.vn/bai-hat/8-Loi-Noi-Doi-Cua-Me-Nguyen-Van-Chung-Nhu-Thuy/Z7IWBW06.html,8-loi-noi-doi-cua-me,8 Lời Nói Dối Của Mẹ,nhạc trẻ,"Nguyễn Văn Chung, Như Thùy",391.0,72.31856504203316,5.40663382594417
800 màn đêm,https://zingmp3.vn/bai-hat/800-Man-Dem-TeuYungBoy-Hazel/Z6OF70CZ.html,800-man-dem,800 Màn Đêm,rap việt,"TeuYungBoy, Hazel",833.0,214.0303307026205,3.891971746553027
9 năm hạnh phúc trôi xa,https://zingmp3.vn/bai-hat/9-Nam-Hanh-Phuc-Troi-Xa-Hakoota/Z7AD6OZF.html,9-nam-hanh-phuc-troi-xa,9 Năm (Hạnh Phúc Trôi Xa),,Hakoota Dung Ha,355.0,87.87268956121976,4.03993552231807
9 đợi 10 chờ,https://zingmp3.vn/bai-hat/9-Doi-10-Cho-Thanh-Nhan/Z6ZW0690.html,9-doi-10-cho,9 Đợi 10 Chờ,v-pop,Thanh Nhân,436.0,138.8240288686054,3.1406666666666667
999 giọt nước mắt,https://zingmp3.vn/bai-hat/999-Giot-Nuoc-Mat-Khanh-Don/ZWZD6FB8.html,999-giot-nuoc-mat,999 Giọt Nước Mắt,,Khanh Don,714.0,135.35219691347208,5.275126789825552
999 đóa hoa hồng remix,https://zingmp3.vn/bai-hat/999-Doa-Hoa-Hong-Remix-Luong-Gia-Huy/ZW6FIF8B.html,999-doa-hoa-hong-remix,999 Đóa Hoa Hồng (Remix),,Luong Gia Huy,452.0,110.94998173661747,4.073907835992224
999 đóa hồng,https://zingmp3.vn/bai-hat/999-Doa-Hong-Remix-Khuong-Hung/ZWABIBWE.html,999-doa-hong,999 Đóa Hồng,v-pop,Bạch Công Khanh,291.0,68.22231252539777,4.265466666666667
999 đóa hồng remix,https://zingmp3.vn/bai-hat/999-Doa-Hong-Remix-Khuong-Hung/ZWABIBWE.html,999-doa-hong-remix,999 Đóa Hồng (Remix),nhạc trẻ,Khương Hùng,380.0,59.59279202980241,6.376610107644591
a di đà phật,https://zingmp3.vn/bai-hat/A-Di-Da-Phat-Dieu-Dan/ZW9CBWI6.html,a-di-da-phat,A Di Đà Phật,nhạc tôn giáo,Diệu Đan,114.0,26.55939363817097,4.2922666666666665
a xiêu yêu xa,https://zingmp3.vn/bai-hat/A-Xieu-Yeu-Xa-Nhu-Hexi-Kevin-Socola/ZW6DIEO6.html,a-xieu-yeu-xa,A Xiêu Yêu Xa,,"Nhu Hexi,Kevin Socola",692.0,173.61343413393993,3.9858666666666656
a í a cuộc đời vẫn đẹp sao ost,https://zingmp3.vn/bai-hat/A-I-A-Cuoc-Doi-Van-Dep-Sao-OST-Duong-Truong-Giang/Z6C87WWE.html,a-i-a-cuoc-doi-van-dep-sao-ost,A Í A (Cuộc Đời Vẫn Đẹp Sao OST),nhạc phim,Dương Trường Giang,395.0,84.83191111620184,4.656266666666666
ai ai ai,https://zingmp3.vn/bai-hat/Ai-Ai-Ai-May-Trang/ZWZA6D7A.html,ai-ai-ai,Ai Ai Ai,nhạc trẻ,Mây Trắng,342.0,105.07210702281148,3.2549076028878985
ai biết ngày mai,https://zingmp3.vn/bai-hat/Ai-Biet-Ngay-Mai-Vu-Duy-Khanh/ZW686OBW.html,ai-biet-ngay-mai,Ai Biết Ngày Mai,,Vu Duy Khanh,490.0,101.102737232045,4.84655523099618
ai biết đâu ngày mai,https://zingmp3.vn/bai-hat/Ai-Biet-Dau-Ngay-Mai-Quach-Tuan-Du/ZW7ODFEE.html,ai-biet-dau-ngay-mai,Ai Biết Đâu Ngày Mai,,Quach Tuan Du,348.0,70.65176047908754,4.925567284385019
ai bình yên hơn ai đậm sâu hơn,https://zingmp3.vn/bai-hat/Ai-Binh-Yen-Hon-Ai-Dam-Sau-Hon-Duong-Yen-Phi-NH4T/Z6I78I0D.html,ai-binh-yen-hon-ai-dam-sau-hon,Ai Bình Yên Hơn Ai Đậm Sâu Hơn,v-pop,"Dương Yến Phi, NH4T",461.0,81.08393330362797,5.685466666666667
ai cho tôi lương thiện,https://zingmp3.vn/bai-hat/Ai-Cho-Toi-Luong-Thien-Trang-Phap-Thu-Phuong-Ninh-Duong-Lan-Ngoc/Z7OAEIFF.html,ai-cho-toi-luong-thien,Ai Cho Tôi Lương Thiện,nhạc trẻ,"Trang Pháp, Thu Phương, Ninh Dương Lan Ngọc",361.0,98.45392958822542,3.6666896030442815
ai cho tôi tình yêu,https://zingmp3.vn/bai-hat/Ai-Cho-Toi-Tinh-Yeu-Khanh-Duy-Nha-Ca/ZW6UCD6A.html,ai-cho-toi-tinh-yeu,Ai Cho Tôi Tình Yêu,nhạc trữ tình,Mai Trung Hậu,222.0,54.49619450008716,4.073678942841504
ai chung tình bằng cô đơn,https://zingmp3.vn/bai-hat/Ai-Chung-Tinh-Bang-Co-Don-Ho-Ngoc-Ha-Noo-Phuoc-Thinh/Z6AED8AW.html,ai-chung-tinh-bang-co-don,Ai Chung Tình Bằng Cô Đơn,nhạc trẻ,"Hồ Ngọc Hà, Noo Phước Thịnh",354.0,87.82942700620512,4.030539786795945
ai chung tình được mãi,https://zingmp3.vn/bai-hat/Ai-Chung-Tinh-Duoc-Mai-Beat-Nguyen-Le-Hoang-Anh-Dinh-Tung-Huy-Thuong-Vo-ACV-KAKA-Official/Z6Z99D6A.html,ai-chung-tinh-duoc-mai,Ai Chung Tình Được Mãi,v-pop,"Đinh Tùng Huy, ACV",458.0,81.93717521618683,5.589648395756769
ai chung tình được mãi lofi version,https://zingmp3.vn/bai-hat/Ai-Chung-Tinh-Duoc-Mai-Lofi-Version-Thuong-Vo/ZZB6Z608.html,ai-chung-tinh-duoc-mai-lofi-version,Ai Chung Tình Được Mãi (Lofi Version),dance việt,Thương Võ,504.0,90.81299250432444,5.549866666666667
ai chung tình được mãi remix,https://zingmp3.vn/bai-hat/Ai-Chung-Tinh-Duoc-Mai-Remix-Hoang-Yen/Z6B6U7Z9.html,ai-chung-tinh-duoc-mai-remix,Ai Chung Tình Được Mãi (Remix),nhạc trẻ,Hoàng Yến,459.0,85.62027253092266,5.360879922850367
ai chờ ai,https://zingmp3.vn/bai-hat/Ai-Cho-Ai-Binh-Tai/ZWAF66E7.html,ai-cho-ai,Ai Chờ Ai,nhạc trẻ,Bỉnh Tài,211.0,79.2915121755687,2.6610666666666662
ai còn nhớ thương,https://zingmp3.vn/bai-hat/Ai-Con-Nho-Thuong-Nguyen-Tran-Trong-Hieu/ZZEEU9U7.html,ai-con-nho-thuong,Ai Còn Nhớ Thương,nhạc trẻ,Nguyễn Trần Trọng Hiếu,460.0,82.05192053384084,5.606206375270415
ai cũng có lúc sai,https://zingmp3.vn/bai-hat/Ai-Cung-Co-Luc-Sai-Bang-Cuong/ZWZF7CA6.html,ai-cung-co-luc-sai,Ai Cũng Có Lúc Sai,,Bang Cuong,376.0,83.73634930916022,4.490284125138806
ai cũng có một mối tình buồn,https://zingmp3.vn/bai-hat/Ai-Cung-Co-Mot-Moi-Tinh-Buon-Vicky-Nhung/Z6AFCUOU.html,ai-cung-co-mot-moi-tinh-buon,Ai Cũng Có Một Mối Tình Buồn,v-pop,Vicky Nhung,506.0,101.1056347409085,5.004666666666666
ai cũng có một mối tình buồn lofi,https://zingmp3.vn/bai-hat/Ai-Cung-Co-Mot-Moi-Tinh-Buon-Lofi-Vicky-Nhung-Ngoc-Mai/Z6B6Z9I6.html,ai-cung-co-mot-moi-tinh-buon-lofi,Ai Cũng Có Một Mối Tình Buồn (Lofi),v-pop,"Vicky Nhung, Ngọc Mai",503.0,100.010604172742,5.029466666666666
ai cũng có ngày xưa beat,https://zingmp3.vn/bai-hat/Ai-Cung-Co-Ngay-Xua-Beat-Khang-Viet/ZW7FA8D0.html,ai-cung-co-ngay-xua-beat,Ai Cũng Có Ngày Xưa (Beat),nhạc trẻ,Khang Việt,353.0,83.26919269734974,4.239262908228425
ai cũng nói anh chờ làm gì,https://zingmp3.vn/bai-hat/Ai-Cung-Noi-Anh-Cho-Lam-Gi-Jang-Nguyen/ZWBO8FW9.html,ai-cung-noi-anh-cho-lam-gi,Ai Cũng Nói Anh Chờ Làm Gì,nhạc trẻ,Jang Nguyễn,323.0,80.73654390934846,4.000666666666667
ai cũng nói anh ngốc,https://zingmp3.vn/bai-hat/Ai-Cung-Noi-Anh-Ngoc-Anh-Hao/ZWBO6A7W.html,ai-cung-noi-anh-ngoc,Ai Cũng Nói Anh Ngốc,nhạc trẻ,Anh Hảo,411.0,74.71821597382134,5.500666666666667
ai cũng yêu chú mèo,https://zingmp3.vn/bai-hat/Ai-Cung-Yeu-Chu-Meo-Khanh-Vy/Z6FUO06D.html,ai-cung-yeu-chu-meo,Ai Cũng Yêu Chú Mèo,nhạc thiếu nhi,Khánh Vy,192.0,64.9731534539548,2.9550666666666667
ai cũng đẹp,https://zingmp3.vn/bai-hat/Ai-Cung-Dep-Phi-Bang/ZW800BAC.html,ai-cung-dep,Ai Cũng Đẹp,nhạc trữ tình,Phi Bằng,404.0,104.3760413855296,3.8706200641176016
"ai của riêng ai, đâu còn quan trọng",https://zingmp3.vn/bai-hat/Ai-Cua-Rieng-Ai-Dau-Con-Quan-Trong-Dinh-Kien-Phong/ZWAFZAU0.html,ai-cua-rieng-ai-dau-con-quan-trong,"Ai Của Riêng Ai, Đâu Còn Quan Trọng",nhạc trẻ,Đinh Kiến Phong,511.0,84.16417779339423,6.071466666666667
ai gieo hy vọng,https://zingmp3.vn/bai-hat/Ai-Gieo-Hy-Vong-Lam-Thai-Bao/Z76CI0B9.html,ai-gieo-hy-vong,Ai Gieo Hy Vọng,v-pop,Lâm Thái Bảo,483.0,119.53473024253424,4.040666666666667
ai gieo thương nhớ,https://zingmp3.vn/bai-hat/Ai-Gieo-Thuong-Nho-Quach-Tuan-Du/ZWAFCI90.html,ai-gieo-thuong-nho,Ai Gieo Thương Nhớ,nhạc trẻ,Quách Tuấn Du,415.0,85.05181320026719,4.879378632679124
ai gánh cuộc đời trầm luân live at bến thành,https://zingmp3.vn/bai-hat/Ai-Ganh-Cuoc-Doi-Tram-Luan-Live-at-Ben-Thanh-Hoai-Lam/Z6F69BAA.html,ai-ganh-cuoc-doi-tram-luan-live-at-ben-thanh,Ai Gánh Cuộc Đời Trầm Luân (Live at Bến Thành),v-pop,Hoài Lâm,313.0,51.5866039643124,6.067466666666666
ai hiểu cho em,https://zingmp3.vn/bai-hat/Ai-Hieu-Cho-Em-Saka-Truong-Tuyen/ZWACF76F.html,ai-hieu-cho-em,Ai Hiểu Cho Em,nhạc trẻ,Saka Trương Tuyền,380.0,91.29927055568372,4.162136210806161
ai hiểu được tình yêu,https://zingmp3.vn/bai-hat/Ai-Hieu-Duoc-Tinh-Yeu-Ho-Gia-Khanh/ZW77F7OI.html,ai-hieu-duoc-tinh-yeu,Ai Hiểu Được Tình Yêu,,,509.0,106.29095418878433,4.788742408840931
ai hiểu được tình yêu beat,https://zingmp3.vn/bai-hat/Ai-Hieu-Duoc-Tinh-Yeu-Beat-Ho-Gia-Khanh/ZW77F7OW.html,ai-hieu-duoc-tinh-yeu-beat,Ai Hiểu Được Tình Yêu (Beat),,,515.0,107.54389274503716,4.788742408840931
ai khác ngoài em,https://zingmp3.vn/bai-hat/Chang-Ai-Khac-Ngoai-Em-Au-Nam-Thai/ZW9DBCUF.html,ai-khac-ngoai-em,Ai Khác Ngoài Em,nhạc trẻ,"Đinh Tùng Huy, ACV",401.0,79.00754150508428,5.075464852607709
ai khóc ai cười,https://zingmp3.vn/bai-hat/Ai-Khoc-Ai-Cuoi-Chung-Thanh-Duy/ZUFW009F.html,ai-khoc-ai-cuoi,Ai Khóc Ai Cười,,Phuc Lam,412.0,68.64033190800204,6.002301978262569
ai khóc ai cười,https://zingmp3.vn/bai-hat/Ai-Khoc-Ai-Cuoi-Chung-Thanh-Duy/ZUFW009F.html,ai-khoc-ai-cuoi,Ai Khóc Ai Cười？,v-pop,Chung Thanh Duy,569.0,122.98270893371756,4.626666666666667
ai khóc ai cười？,https://zingmp3.vn/bai-hat/Ai-Khoc-Ai-Cuoi-Chung-Thanh-Duy/ZUFW009F.html,ai-khoc-ai-cuoi,Ai Khóc Ai Cười,,Phuc Lam,412.0,68.64033190800204,6.002301978262569
ai khóc ai cười？,https://zingmp3.vn/bai-hat/Ai-Khoc-Ai-Cuoi-Chung-Thanh-Duy/ZUFW009F.html,ai-khoc-ai-cuoi,Ai Khóc Ai Cười？,v-pop,Chung Thanh Duy,569.0,122.98270893371756,4.626666666666667
ai khóc cho em ？,https://zingmp3.vn/bai-hat/AI-KHOC-CHO-EM-Poll-MinT/ZZBZIUWF.html,ai-khoc-cho-em,AI KHÓC CHO EM ？,rap việt,"Poll, MinT",539.0,178.1660601958604,3.025267547632079
