ngày yêu thương	nguyễn hồng ân	ngay-yeu-thuong-nguyen-hong-an
liên khúc trái tim khô	vĩ mj	lien-khuc-trai-tim-kho-vi-mj
lời đắng cho cuộc tình	chế thanh	loi-dang-cho-cuoc-tinh-che-thanh
chiều buồn bạc liêu	tuấn quang	chieu-buon-bac-lieu-tuan-quang
giờ thì anh...	hà thúy anh	gio-thi-anh-ha-thuy-anh
thật lòng em chẳng muốn thế	thúy khanh	that-long-em-chang-muon-the-thuy-khanh
cô ba cao lãnh	mộng yến	co-ba-cao-lanh-mong-yen
người anh em	brothers club smelod	nguoi-anh-em-brothers-club-smelod
vẫn hoài theo	klaw mastal	van-hoai-theo-klaw-mastal
đền nhau	hy.	den-nhau-hy
tựa cánh bèo trôi	cẩm loan	tua-canh-beo-troi-cam-loan
thêm yêu đời hơn	trúc linh – trúc lam	them-yeu-doi-hon-truc-linh-truc-lam
nếu xuân này vắng em	vỹ thái	neu-xuan-nay-vang-em-vy-thai
hát vang rằng em yêu anh	thủy tiên	hat-vang-rang-em-yeu-anh-thuy-tien
còn gì khi bước qua nhau	nam du	con-gi-khi-buoc-qua-nhau-nam-du
anh thế nào?	võ ê vo	anh-the-nao-vo-e-vo
phút giây ta bình yên	nathan lee	phut-giay-ta-binh-yen-nathan-lee
chuyện tình lan và điệp	bạch tuyết ngọc giàu nsưt út bạch lan	chuyen-tinh-lan-va-diep-ngoc-giau-nsut-ut-bach-lan-bach-tuyet
quên sao thật khó	diikayz nqp	quen-sao-that-kho-nqp-diikayz
mẹ tôi (trần tiến)	trường kha	me-toi-tran-tien-truong-kha
lạ ghê	bé diệu anh	la-ghe-be-dieu-anh
phiên chợ sông	bảo vân	phien-cho-song-bao-van
có bao điều	antoneus maximus tiêu châu như quỳnh	co-bao-dieu-tieu-chau-nhu-quynh-antoneus-maximus
giọt sương và ánh mắt trẻ thơ	võ hạ trâm	giot-suong-va-anh-mat-tre-tho-vo-ha-tram
thí dụ	khánh ly	thi-du-khanh-ly
ru con thuyền mộng	hồng quyên	ru-con-thuyen-mong-hong-quyen
nếu em là	bé kim hồng	neu-em-la-be-kim-hong
bước qua	hoàng rapper thủy tiên	buoc-qua-thuy-tien-hoang-rapper
liên khúc ước mộng đôi ta	lâm hoài phong	lien-khuc-uoc-mong-doi-ta-hoai-phong
em lỡ yêu anh	maya	em-lo-yeu-anh-maya
càng nắm càng đau	lữ bình	cang-nam-cang-dau-lu-binh
cố nhớ để mà quên	tùy phong	co-nho-de-ma-quen-tuy-phong
tình hận dương quý phi	hồ ngọc trinh	tinh-han-duong-quy-phi-ho-ngoc-trinh
vẽ trái tim	lương bích hữu quang vinh	ve-trai-tim-quang-vinh-luong-bich-huu
quên em như đã từng	nguyên thanh phong	quen-em-nhu-da-tung-nguyen-thanh-phong
đời hư ảo	trịnh tuấn vỹ	doi-hu-ao-trinh-tuan-vy
biết tin ai bây giờ	trương bảo khang	biet-tin-ai-bay-gio-truong-bao-khang
người hỡi em cần anh	uyên trang	nguoi-hoi-em-can-anh-uyen-trang
em quên rồi phải không	final band	em-quen-roi-phai-khong-final-band
không hối hận khi đã yêu	hoàng minh thắng	khong-hoi-han-khi-da-yeu-hoang-minh-thang
sầu đông	đức hiếu đức vinh	sau-dong-duc-vinh-duc-hieu
thu quyến rũ	lê anh	thu-quyen-ru-le-anh
một đời vẫn nhớ	quang dũng	mot-doi-van-nho-quang-dung
vì sao trên trời	ánh sao đêm	vi-sao-tren-troi-anh-sao-dem
buồn con chim sáo	ngọc hân	buon-con-chim-sao-ngoc-han
điều anh chưa nói	adam thái	dieu-anh-chua-noi-adam-thai
liên khúc: tôi không cô đơn-người yêu cô đơn	thanh huyền tuấn vũ	lien-khuc-toi-khong-co-don-nguoi-yeu-co-don-tuan-vu-thanh-huyen
hạnh phúc	lệ quyên tuấn hưng	hanh-phuc-tuan-hung-le-quyen
ái phi	lee phú quý tuấn nguyễn	ai-phi-lee-phu-quy-tuan-nguyen
lính biên phòng hát	b.o.m	linh-bien-phong-hat-b-o-m
đã bao lâu	nhiều nghệ sĩ	da-bao-lau-dinh-trang-ying-weka-cm1x
khi con tim biết yêu	nguyệt lan	khi-con-tim-biet-yeu-nguyet-lan
ngày qua không em	nguyễn phi hùng	ngay-qua-khong-em-nguyen-phi-hung
thầm mong	cẩm ly	tham-mong-cam-ly
em là tình tôi đấy	đăng tú	em-la-tinh-toi-day-dang-tu
đời khó đoán	tinna tình	doi-kho-doan-tinna-tinh
người gian dối em không cần	trúc ly - trúc linh	nguoi-gian-doi-em-khong-can-truc-ly-truc-linh
vì ngày xưa	hồ quang hiếu	vi-ngay-xua-ho-quang-hieu
chia tay êm đềm	lý hải	chia-tay-em-dem-ly-hai
về xứ nghệ	huyền trang sao mai 2013	ve-xu-nghe-huyen-trang-sao-mai-2013
tự hào sinh viên việt nam	b-rock	tu-hao-sinh-vien-viet-nam-b-rock
biết làm sao quên	trương đình phong	biet-lam-sao-quen-truong-dinh-phong
bé học phép cộng	bé kim hồng	be-hoc-phep-cong-be-kim-hong
ru em vào mộng	hoàng y vũ	ru-em-vao-mong-hoang-y-vu
mẹ ơi con khóc	ái xuân	me-oi-con-khoc-ai-xuan
sắc màu mới	p.s.s	sac-mau-moi-p-s-s
mưa tháng giêng	hoàng thanh	mua-thang-gieng-hoang-thanh
nhà giàn của bé	bé minh thư	nha-gian-cua-be-be-minh-thu
hơn cả nỗi nhớ	minh chuyên minh quân	hon-ca-noi-nho-minh-chuyen-minh-quan
thương lắm cần thơ ơi	văn hương	thuong-lam-can-tho-oi-van-huong
nhớ mùa noel	hoàng nhật minh	nho-mua-noel-hoang-nhat-minh
liên khúc bay đi cánh chim biển - hẹn hò - tình khúc buồn - dạ khúc cho tình nhân	nhiều nghệ sĩ	lien-khuc-bay-di-canh-chim-bien-hen-ho-tinh-khuc-buon-da-khuc-cho-tinh-nhan-thu-phuong-bang-kieu-ngoc-ha-tran-thai-hoa
khúc nhạc vui	minh thi	khuc-nhac-vui-minh-thi
vui xuân đồng tháp quê em	nguyễn linh	vui-xuan-dong-thap-que-em-nguyen-linh
đừng giận nữa anh	thúy uyên	dung-gian-nua-anh-thuy-uyen
đánh thức tình si	dương thái bảo	danh-thuc-tinh-si-duong-thai-bao
nhật ký lá khô	thiên bảo	nhat-ky-la-kho-thien-bao
trăn trở	beezy linh lam triplek	tran-tro-linh-lam-beezy-triplek
mong ước nhỏ nhoi	bé xuân quỳnh trang anh thơ	mong-uoc-nho-nhoi-trang-anh-tho-be-xuan-quynh
bước vội	thiên dũng	buoc-voi-thien-dung
đừng chia tay	đan trường	dung-chia-tay-dan-truong
tình tan vỡ	thu minh	tinh-tan-vo-thu-minh
chẳng còn gì	đàm vĩnh hưng	chang-con-gi-dam-vinh-hung
hộp nhạc đêm sao	hòa mi đại nhân	hop-nhac-dem-sao-dai-nhan-hoa-mi
sống trong nỗi buồn	vân du	song-trong-noi-buon-van-du
công chúa loài hoa	lý hải	cong-chua-loai-hoa-ly-hai
con cò đi xa (dangminh mix)	tika tùng anh v.p	con-co-di-xa-dangminh-mix-tika-tung-anh-v-p
trả lại em	bảo hưng miền tây như hoa	tra-lai-em-bao-hung-mien-tay-nhu-hoa
bất cần	kandy sol7	bat-can-kandy-sol7
tết là sum vầy	nhiều nghệ sĩ	tet-la-sum-vay-do-hoang-duong-suni-ha-linh-xesi-mlee
hãy sống sao cho nghĩa nhân	doll phan hiếu	hay-song-sao-cho-nghia-nhan-doll-phan-hieu
cầu vồng hạnh phúc	hà kim ngọc nguyên khôi	cau-vong-hanh-phuc-nguyen-khoi-ha-kim-ngoc
thiên thần tình yêu	lý hải	thien-than-tinh-yeu-ly-hai
dẫu có cách xa	lương bằng quang	dau-co-cach-xa-luong-bang-quang
trót lỡ yêu em	chí bằng	trot-lo-yeu-em-chi-bang
chiếc bóng bên em	tùng anh	chiec-bong-ben-em-tung-anh
trái tim xa lạ	thu trang	trai-tim-xa-la-thu-trang
tình yêu đầu tiên	bảo hân	tinh-yeu-dau-tien-bao-han
lk: về quê ngoại - mấy nhịp cầu tre	hương lan long nhật	lk-ve-que-ngoai-may-nhip-cau-tre-long-nhat-huong-lan
có nhau về sau	hàn quốc hùng	co-nhau-ve-sau-han-quoc-hung
em chờ đến bao giờ	tăng quỳnh my	em-cho-den-bao-gio-tang-quynh-my
cần một thứ gọi là tình yêu	tam hổ	can-mot-thu-goi-la-tinh-yeu-tam-ho
tình cho không	ngọc sáng	tinh-cho-khong-ngoc-sang
con đường bình yên	tần khánh	con-duong-binh-yen-tan-khanh
tình cây và đất	đoàn minh	tinh-cay-va-dat-doan-minh
corona ghét lắm nha	thiên an	corona-ghet-lam-nha-thien-an
đi tìm ánh nắng trong đêm	hoàng mai hạ vy	di-tim-anh-nang-trong-dem-hoang-mai-ha-vy
vết thương của riêng anh	dương hùng khánh	vet-thuong-cua-rieng-anh-duong-hung-khanh
yêu để rồi đau	ngô trác lâm	yeu-de-roi-dau-ngo-trac-lam
về thăm phong nha	bích hiền	ve-tham-phong-nha-bich-hien
mưa rơi vào nỗi đau	takej minh huy	mua-roi-vao-noi-dau-takej-minh-huy
tấm áo chiến sĩ mẹ và năm xưa	quý dương	tam-ao-chien-si-me-va-nam-xua-quy-duong
anh đi rồi đúng không	hkray may	anh-di-roi-dung-khong-hkray-may
hỡi tình yêu thế gian	chí nhân dương thiện lâm	hoi-tinh-yeu-the-gian-chi-nhan-duong-thien-lam
giọt mưa màu xanh	hòa mi đại nhân	giot-mua-mau-xanh-dai-nhan-hoa-mi
hài hòa	chí tâm lệ thủy	hai-hoa-le-thuy-chi-tam
bí mật của anh	khánh my	bi-mat-cua-anh-khanh-my
yêu vợ thương con	billy hoàng phong	yeu-vo-thuong-con-billy-hoang-phong
tôi xa miền trung	ngô quốc linh	toi-xa-mien-trung-ngo-quoc-linh
giấc mơ còn lại	đàm thu trang	giac-mo-con-lai-dam-thu-trang
chênh vênh giữa hai miền cảm xúc	tống gia vỹ	chenh-venh-giua-hai-mien-cam-xuc-tong-gia-vy
cô giáo xinh	liêu phong	co-giao-xinh-lieu-phong
khó quên	hoàng hải thoại	kho-quen-hoang-hai-thoai
liên khúc thiếu nhi	don nguyễn	lien-khuc-thieu-nhi-don-nguyen
sẽ vẫn chờ anh	hà thúy anh	se-van-cho-anh-ha-thuy-anh
xin gọi nhau là cố nhân	dạ thảo my	xin-goi-nhau-la-co-nhan-da-thao-my
xin còn nhớ đêm nay	đặng trọng vũ	xin-con-nho-dem-nay-dang-trong-vu
hôm nay tôi nghe	tam ca áo trắng	hom-nay-toi-nghe-tam-ca-ao-trang
câu chuyện về một bboy	phong đạt	cau-chuyen-ve-mot-bboy-phong-dat
sơn nữ ca	nsnd lê dung	son-nu-ca-le-dung
em là sen	nhã ca	em-la-sen-nha-ca
nửa đêm ngoài phố, người ngoài phố	khánh lâm tuấn quỳnh	nua-dem-ngoai-pho-nguoi-ngoai-pho-khanh-lam-tuan-quynh
liên khúc sầu đông - tình ca người đi biển	hồ xuân đào	lien-khuc-sau-dong-tinh-ca-nguoi-di-bien-ho-xuan-dao
dương quý phi	bạch tuyết	duong-quy-phi-bach-tuyet
khúc tango sầu	lệ thu	khuc-tango-sau-le-thu
mình buông tay em nhé	hoàng nhã	minh-buong-tay-em-nhe-hoang-nha
khúc hát sông quê	anh thơ	khuc-hat-song-que-anh-tho
mắt ướt (instrumental)	phan đinh tùng thái ngọc bích	mat-uot-instrumental-phan-dinh-tung-thai-ngoc-bich
người không bóng hình	ngô kiến huy thu thủy	nguoi-khong-bong-hinh-ngo-kien-huy-thu-thuy
đừng nói dối nữa	tuyết nga	dung-noi-doi-nua-tuyet-nga
anh muốn quay lại	khắc việt	anh-muon-quay-lai-khac-viet
xấu trai	chi dân	xau-trai-chi-dan
rơi	black roses	roi-black-roses
ai nói rằng cười là hạnh phúc	akira phan yan nguyễn	ai-noi-rang-cuoi-la-hanh-phuc-yan-nguyen-akira-phan
phồ vắng mùa đông	trần thành long	pho-vang-mua-dong-tran-thanh-long
đêm nhớ đêm thương	hoàng anh hoàng hiếu	dem-nho-dem-thuong-hoang-anh-hoang-hieu
dáng ngọc	hà thùy liên	dang-ngoc-ha-thuy-lien
lk mùa xuân ơi	khánh my	lk-mua-xuan-oi-khanh-my
lk mùa xuân ơi - ngày tết quê em	bích hải	lk-mua-xuan-oi-ngay-tet-que-em-bich-hai
nha trang ngày về	lê anh	nha-trang-ngay-ve-le-anh
bánh gato	dược sĩ tiến ira hoàng thy	banh-gato-duoc-si-tien-ira-hoang-thy
mưa chiều nhớ anh	mỹ lệ	mua-chieu-nho-anh-my-le
xin yêu tôi bằng cả tình người	chế tài fony trung lê phương	xin-yeu-toi-bang-ca-tinh-nguoi-le-phuong-che-tai-fony-trung
cạm bẫy tình yêu	phương thanh	cam-bay-tinh-yeu-phuong-thanh
ở hai đầu nỗi nhớ	khắc quốc hải	o-hai-dau-noi-nho-khac-quoc-hai
vẫn chờ mong	tần khánh	van-cho-mong-tan-khanh
thành phố sau lưng	dương thiện lâm	thanh-pho-sau-lung-duong-thien-lam
đom đóm tình yêu	anh tài	dom-dom-tinh-yeu-anh-tai
đừng đánh mất lòng tin	dương 565	dung-danh-mat-long-tin-duong-565
mùa xuân dịu dàng	cao hoàng nghi ngọc thảo	mua-xuan-diu-dang-ngoc-thao-cao-hoang-nghi
hoài cổ	đào vũ thanh	hoai-co-dao-vu-thanh
đám cưới tụi mình	thúy nga ((hài)) tấn beo	dam-cuoi-tui-minh-thuy-nga-hai-tan-beo
một cơn mê	khánh duy	mot-con-me-khanh-duy
mùa đông vắng	nguyễn đức quang	mua-dong-vang-nguyen-duc-quang
ánh mắt ấy	thu thủy	anh-mat-ay-thu-thuy
liên khúc  : chỉ còn mình anh	lam trường đình văn	lien-khuc-chi-con-minh-anh-lam-truong-dinh-van
trải lòng	kennytk lil'boy	trai-long-lil-boy-kennytk
những mùa dấu yêu	đan trường	nhung-mua-dau-yeu-dan-truong
sai trong quá khứ	đan trường	sai-trong-qua-khu-dan-truong
trắng đen	tăng nhật tuệ	trang-den-tang-nhat-tue
khi anh ra đi	lưu bích	khi-anh-ra-di-luu-bich
xuân dạo phương nam	hữu thọ	xuan-dao-phuong-nam-huu-tho
về đất mẹ yêu thương	ngọc sáng	ve-dat-me-yeu-thuong-ngoc-sang
vẽ lại cho anh	lý hải	ve-lai-cho-anh-ly-hai
đành quên dĩ vãng	nhật tinh anh	danh-quen-di-vang-nhat-tinh-anh
vì em gần bên tôi	khang hưng	vi-em-gan-ben-toi-khang-hung
mùa đông mồ côi	thái phong vũ	mua-dong-mo-coi-thai-phong-vu
gục ngã anh tự biết đứng lên	phương trung huy tấn văn mdp	guc-nga-anh-tu-biet-dung-len-tan-van-mdp-phuong-trung-huy
con tim hoang lạnh	hồ quang hiếu	con-tim-hoang-lanh-ho-quang-hieu
mạnh mẽ đến từ anh	bin trần	manh-me-den-tu-anh-bin-tran
để trôi đi (acoustic)	cá hồi hoang	de-troi-di-acoustic-ca-hoi-hoang
lào cai nơi tôi sinh ra	hiếu bon	lao-cai-noi-toi-sinh-ra-hieu-bon
vẫn luôn yêu em	tùng zon	van-luon-yeu-em-tung-zon
hãy về bên anh	thái thanh hiệp	hay-ve-ben-anh-thai-thanh-hiep
tình yêu niềm nhớ	quang vinh	tinh-yeu-niem-nho-quang-vinh
yêu em bằng lý trí	cao tùng anh linh na	yeu-em-bang-ly-tri-cao-tung-anh-linh-na
thoát cơn ác mộng	lâm triệu vỹ	thoat-con-ac-mong-lam-trieu-vy
hạ đâu	nguyễn đình thanh tâm	ha-dau-nguyen-dinh-thanh-tam
từng con đường từng góc phố	krazinoyze	tung-con-duong-tung-goc-pho-krazinoyze
bay nhanh hơn ánh sáng	đan trường	bay-nhanh-hon-anh-sang-dan-truong
em tập chải răng	duy uyên	em-tap-chai-rang-duy-uyen
nửa riêng tôi	hồ trung dũng	nua-rieng-toi-ho-trung-dung
ví dầu mồ côi	bb thy	vi-dau-mo-coi-bb-thy
liên khúc: mưa phi trường - con gái bây giờ	johnny dũng minh tuyết tú quyên	lien-khuc-mua-phi-truong-con-gai-bay-gio-minh-tuyet-johnny-dung-tu-quyen
rap về broly	elbi phan ann	rap-ve-broly-phan-ann-elbi
hãy nhớ còn có anh	pp nguyễn ta min	hay-nho-con-co-anh-ta-min-pp-nguyen
những giấc mơ trở về	nhật nguyệt band	nhung-giac-mo-tro-ve-nhat-nguyet-band
lk phượng buồn - kỷ niệm nào buồn	dương hồng loan lưu chí vỹ	lk-phuong-buon-ky-niem-nao-buon-duong-hong-loan-luu-chi-vy
lặng nghe ký ức	đỗ ái tử	lang-nghe-ky-uc-do-ai-tu
chờ em anh nhé	thu phương	cho-em-anh-nhe-thu-phuong
tình ta biển bạc đồng xanh	ngọc quang thu hiền	tinh-ta-bien-bac-dong-xanh-ngoc-quang-thu-hien
phòng chống corona	phi bằng	phong-chong-corona-phi-bang
tiếng sáo phiêu bồng	anh thư nguyễn	tieng-sao-phieu-bong-anh-thu-nguyen
giấu kín trái tim	chí thiện	giau-kin-trai-tim-chi-thien
vinh, thành phố bình minh	tố uyên đức chính	vinh-thanh-pho-binh-minh-duc-chinh-to-uyen
em thì khóc tôi thì đau	akira phan	em-thi-khoc-toi-thi-dau-akira-phan
tiếng yêu đầu	đào huy anh	tieng-yeu-dau-dao-huy-anh
tha lỗi cho nhau	lam trường phương thanh	tha-loi-cho-nhau-phuong-thanh-lam-truong
phía sau một người	hiếu adobe	phia-sau-mot-nguoi-hieu-adobe
hạnh phúc từ những nụ cười	s87 daband	hanh-phuc-tu-nhung-nu-cuoi-nhom-s87
mình anh bước về	quốc cường	minh-anh-buoc-ve-quoc-cuong
người thế thay	cao nam thành	nguoi-the-thay-cao-nam-thanh
lk vui hay buồn - yêu lầm anh	minh hằng	lk-vui-hay-buon-yeu-lam-anh-minh-hang
vì anh đã yêu em	quang dũng	vi-anh-da-yeu-em-quang-dung
yêu nhiều khổ nhiều	điền thái toàn	yeu-nhieu-kho-nhieu-dien-thai-toan
đao kiếm như mộng	hồ quang hiếu	dao-kiem-nhu-mong-ho-quang-hieu
một thời để nhớ mãi	nam man	mot-thoi-de-nho-mai-nam-man
thói quen của anh	cao tùng anh	thoi-quen-cua-anh-cao-tung-anh
bản ballad cho em	mkey	ban-ballad-cho-em-mkey
tình thôi cách xa	cẩm ly	tinh-thoi-cach-xa-cam-ly
đất việt anh hùng	tuấn nghĩa	dat-viet-anh-hung-tuan-nghia
yên hoa dễ lạnh	vũ nam tước	yen-hoa-de-lanh-vu-nam-tuoc
thiệp hồng không tên anh	k.na	thiep-hong-khong-ten-anh-k-na
anh ổn	jin tuấn nam	anh-on-jin-tuan-nam
điều em cần biết	lưu quang anh	dieu-em-can-biet-luu-quang-anh
anh yêu em baby	hoàng tuấn minh	anh-yeu-em-baby-hoang-tuan-minh
mình cùng nhau đóng băng	thùy chi	minh-cung-nhau-dong-bang-thuy-chi
quên người đàn ông, quên một tình yêu	vũ trâm anh	quen-nguoi-dan-ong-quen-mot-tinh-yeu-vu-tram-anh
gánh cả thế giới để yêu em	hồ quốc việt	ganh-ca-the-gioi-de-yeu-em-ho-quoc-viet
mơ về nơi xa lắm	đoàn việt hùng	mo-ve-noi-xa-lam-doan-viet-hung
bản tango mùa thu	cao thái sơn	ban-tango-mua-thu-cao-thai-son
không thể thay thế	kiên trần ssay huỳnh	khong-the-thay-the-ssay-huynh-kien-tran
ngày ngày tháng tháng	khánh trung phạm trưởng	ngay-ngay-thang-thang-khanh-trung-pham-truong
nhậu	hàn thái tú	nhau-han-thai-tu
yêu anh nhé	phan mạnh quỳnh	yeu-anh-nhe-phan-manh-quynh
giấc mơ tà áo trắng	cẩm ly	giac-mo-ta-ao-trang-cam-ly
lỳ và sáo	trịnh nhật minh	ly-va-sao-trinh-nhat-minh
khi nào em hiểu	hàn thái tú	khi-nao-em-hieu-han-thai-tu
điển ngục ti	lee phú quý tuấn nguyễn	dien-nguc-ti-lee-phu-quy-tuan-nguyen
chúc tết việt nam	aslan	chuc-tet-viet-nam-aslan
nỗi đau muôn đời	cao thái bình	noi-dau-muon-doi-cao-thai-binh
làm sao em hiểu	lâm chấn khang	lam-sao-em-hieu-lam-chan-khang
về đi con	lương quốc thiên	ve-di-con-luong-quoc-thien
cô đơn chiều đông	triệu trang	co-don-chieu-dong-trieu-trang
sao em làm ngơ	nhật hào thanh thảo	sao-em-lam-ngo-thanh-thao-nhat-hao
thiên thần anh yêu em	mr sugar	thien-than-anh-yeu-em-mr-sugar
thấy em từ xa	groza	thay-em-tu-xa-groza
thao thức	tạ quang thắng	thao-thuc-ta-quang-thang
thế giới trò chơi (intro)	nimbia s.t sơn thạch	the-gioi-tro-choi-intro-s-t-son-thach-nimbia
mùa thu kỷ niệm	cẩm ly đan trường	mua-thu-ky-niem-cam-ly-dan-truong
thương nhớ cha mẹ	trường sơn	thuong-nho-cha-me-truong-son
chính em là tình yêu	lâm thái bảo	chinh-em-la-tinh-yeu-lam-thai-bao
đừng trách người mộng mơ	đăng khôi	dung-trach-nguoi-mong-mo-dang-khoi
góc khuất	bùi việt hà	goc-khuat-bui-viet-ha
uống tiếp nhé (beebb mix)	beebb leg	uong-tiep-nhe-beebb-mix-beebb-leg
đành xa nhau	cáp anh tài	danh-xa-nhau-cap-anh-tai
liên khúc cô đơn	thần thoại	lien-khuc-co-don-than-thoai
đám cưới hạnh phúc	mộng yến	dam-cuoi-hanh-phuc-mong-yen
cá hồi	ngọt	ca-hoi-ngot
vì anh đánh mất	hồ ngọc hà	vi-anh-danh-mat-ho-ngoc-ha
nơi em thuộc về	phạm trưởng	noi-em-thuoc-ve-pham-truong
vòng tay yêu thương	thiên trường	vong-tay-yeu-thuong-thien-truong
để anh được yêu	chí thiện	de-anh-duoc-yeu-chi-thien
thái bình nơi tôi sinh ra	nguyễn hoàng phong đức hải	thai-binh-noi-toi-sinh-ra-nguyen-hoang-phong-duc-hai
hãy về đây	jazzy dạ lam	hay-ve-day-jazzy-da-lam
ngọc ngà việt nam	thu minh	ngoc-nga-viet-nam-thu-minh
mơ tình thật thà	nini khanh	mo-tinh-that-tha-nini-khanh
nếu anh hỏi	bảo nguyên	neu-anh-hoi-bao-nguyen
khóc cho con tim	a tuân	khoc-cho-con-tim-a-tuan
nên là quá khứ	châu ngọc tiên	nen-la-qua-khu-chau-ngoc-tien
trích đoạn nhất kiếm bá vương	lệ thủy minh phụng	trich-doan-nhat-kiem-ba-vuong-le-thuy-minh-phung
đi trong hương tràm	minh đức	di-trong-huong-tram-minh-duc
điệu ru đêm thánh	nenita	dieu-ru-dem-thanh-nenita
tình gian dối (lemon tree)	lam trường	tinh-gian-doi-lemon-tree-lam-truong
còn chút nghẹn ngào	đàm vĩnh hưng	con-chut-nghen-ngao-dam-vinh-hung
đừng khóc vì xa anh	quang vinh	dung-khoc-vi-xa-anh-quang-vinh
gửi em! người anh thương	trịnh thiên ân	gui-em-nguoi-anh-thuong-trinh-thien-an
tiếc nuối làm gì	thái ngọc bích	tiec-nuoi-lam-gi-thai-ngoc-bich
chờ một mùa đông	quang vinh	cho-mot-mua-dong-quang-vinh
