song,link,prefix
chuyện đời con gái,https://zingmp3.vn/bai-hat/Chuyen-Doi-Con-Gai-To-My/ZOB0W6OD.html,chuyen-doi-con-gai
thế em làm sao？,https://zingmp3.vn/bai-hat/The-Em-Lam-Sao-Junki-Tran-Hoa-Vu-Pham/Z6ZIZUBW.html,the-em-lam-sao
chỉ còn lại nỗi nhớ,https://zingmp3.vn/bai-hat/Chi-Con-Lai-Noi-Nho-NamD-Jasmine/ZWDE6WB9.html,chi-con-lai-noi-nho
khúc ca mùa đông,https://zingmp3.vn/bai-hat/Khuc-Ca-Mua-Dong-Duong-Trieu-Vu/ZWZABE09.html,khuc-ca-mua-dong
gửi người em gái,https://zingmp3.vn/bai-hat/Gui-Nguoi-Em-Gai-Hua-Vi-Van/ZWZC0BIU.html,gui-nguoi-em-gai
tình dang dở,https://zingmp3.vn/bai-hat/Tinh-Dang-Do-Han-Thai-Tu/ZW6IIO7Z.html,tinh-dang-do
1000 điều ước,https://zingmp3.vn/bai-hat/1000-Dieu-Uoc-Ngo-Truong/ZWZCWC7F.html,1000-dieu-uoc
gọi em beat,https://zingmp3.vn/bai-hat/Goi-Em-Beat-The-Wings-Band/ZW9A6DBU.html,goi-em-beat
tiền,https://zingmp3.vn/bai-hat/Tieng-Hat-Chim-Da-Da-Phuong-Thanh/ZWZCWE76.html,tien
con sáo vô tình,https://zingmp3.vn/bai-hat/Con-Sao-Vo-Tinh-Khanh-Binh/ZOBD6WBO.html,con-sao-vo-tinh
mong bạn luôn vui,https://zingmp3.vn/bai-hat/Mong-Ban-Luon-Vui-Lam-Anh/ZW6Z06ZZ.html,mong-ban-luon-vui
tình xót xa,https://zingmp3.vn/bai-hat/Tinh-Xot-Xa-Phong-Dat/ZWZBFBEW.html,tinh-xot-xa
tâm sự cùng người lạ beat,https://zingmp3.vn/bai-hat/Tam-Su-Cung-Nguoi-La-Beat-Tien-Cookie/ZW7O6UFF.html,tam-su-cung-nguoi-la-beat
ai đưa em về,https://zingmp3.vn/bai-hat/Lien-Khuc-Ai-Dua-Em-Ve-Mua-Thu-La-Bay-Bang-Cuong/Z6ZIF9EO.html,ai-dua-em-ve
bụi trong mắt em,https://zingmp3.vn/bai-hat/Bui-Trong-Mat-Em-Trio-666/ZW6UZEC6.html,bui-trong-mat-em
hơn cả tình yêu,https://zingmp3.vn/bai-hat/Hon-Ca-Tinh-Yeu-Truong-Nhu-Anh/ZW7UBD68.html,hon-ca-tinh-yeu
liên khúc đoản ca xuân - xuân đẹp làm sao,https://zingmp3.vn/bai-hat/Lien-Khuc-Doan-Ca-Xuan-Xuan-Dep-Lam-Sao-Ho-Quang-Loc/ZWA7DA6W.html,lien-khuc-doan-ca-xuan-xuan-dep-lam-sao
trên dòng sông nhỏ,https://zingmp3.vn/bai-hat/Tren-Dong-Song-Nho-Hong-Phuong-Huynh-That-Huu-Binh-Dong-Duong/ZW788ACC.html,tren-dong-song-nho
cao bằng khát vọng vươn xa,https://zingmp3.vn/bai-hat/Cao-Bang-Khat-Vong-Vuon-Xa-Le-Ngoc-Thuy/ZWACWCFO.html,cao-bang-khat-vong-vuon-xa
lý tình xuân,https://zingmp3.vn/bai-hat/Ly-Tinh-Xuan-Duong-Hong-Loan/Z7WDD606.html,ly-tinh-xuan
về với anh,https://zingmp3.vn/bai-hat/Ve-Voi-Anh-Le-Hieu/ZWZ9ZU0A.html,ve-voi-anh
càng biết càng đau,https://zingmp3.vn/bai-hat/Cang-Biet-Cang-Dau-Liz-Kim-Cuong/Z6UOD0E7.html,cang-biet-cang-dau
